id,stcnttr,name,addr,level,dist,score
Census Tract 1110,Census Tract 1110,Redwood High School,"395 Doherty Drive, Larkspur, CA 94939",9-12,2.27 miles,9
Census Tract 1110,Census Tract 1110,Tamiscal High (Alternative) School,"305 Doherty Drive, Larkspur, CA 94939",9-12,2.28 miles,8
Census Tract 1110,Census Tract 1110,Tamalpais Adult/Community Education,"375 Doherty Drive, Larkspur, CA 94939",n/a,2.36 miles,Compare
Census Tract 1110,Census Tract 1110,San Andreas High (Continuation) School,"599 William Avenue, Larkspur, CA 94939",10-12,2.53 miles,Compare
Census Tract 1110,Census Tract 1110,Marin County Special Education School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",K-12,3.09 miles,3
Census Tract 1110,Census Tract 1110,Marin County Rop School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",9-12,3.09 miles,Compare
Census Tract 112,Census Tract 112,Galileo High School,"1150 Francisco Street, San Francisco, CA 94109",9-12,0.95 miles,8
Census Tract 112,Census Tract 112,S.F. County Civic Center Secondary,"727 Golden Gate Avenue, San Francisco, CA 94102",6-12,1.05 miles,Compare
Census Tract 112,Census Tract 112,San Francisco County Rop School,"750 25th Avenue, San Francisco, CA 94121",10-12,1.26 miles,Compare
Census Tract 112,Census Tract 112,Wells (Ida B.) High School,"1099 Hayes Street, San Francisco, CA 94117",9-12,1.71 miles,Compare
Census Tract 112,Census Tract 112,Wallenberg (Raoul) Traditional High School,"40 Vega Street, San Francisco, CA 94115",9-12,2.02 miles,8
Census Tract 112,Census Tract 112,International Studies Academy,"655 De Haro Street, San Francisco, CA 94107",9-12,2.27 miles,4
Census Tract 112,Census Tract 112,Downtown High School,"693 Vermont Street, San Francisco, CA 94107",9-12,2.28 miles,Compare
Census Tract 112,Census Tract 112,O'connell (John) High School,"2355 Folsom Street, San Francisco, CA 94110",9-12,2.32 miles,3
Census Tract 112,Census Tract 112,Mission High School,"3750 18th Street, San Francisco, CA 94114",9-12,2.34 miles,5
Census Tract 112,Census Tract 112,S.F. International High School,"1050 York Street, San Francisco, CA 94110",9-12,2.34 miles,3
Census Tract 112,Census Tract 112,S.F. County Opportunity (Hilltop) School,"1325 Florida St, San Francisco, CA 94110",6-12,2.94 miles,Compare
Census Tract 112,Census Tract 112,"Asawa (Ruth) San Francisco School Of The Arts, A Public School.","555 Portola Drive, San Francisco, CA 94131",9-12,3.86 miles,10
Census Tract 112,Census Tract 112,Academy Of Arts And Sciences,"555 Portola Drive, San Francisco, CA 94131",9-12,3.86 miles,5
Census Tract 112,Census Tract 112,Marshall (Thurgood) High School,"45 Conkling Street, San Francisco, CA, San Francisco, CA 94124",9-12,4.03 miles,4
Census Tract 112,Census Tract 112,S.F. County Special Education School,"750 25th Ave, San Francisco, CA 94121",K-12,4.12 miles,Compare
Census Tract 112,Census Tract 112,Washington (George) High School,"600 32nd Avenue, San Francisco, CA 94121",9-12,4.48 miles,8
Census Tract 112,Census Tract 112,Lincoln (Abraham) High School,"2162 24th Avenue, San Francisco, CA 94116",9-12,4.93 miles,8
Census Tract 1121,Census Tract 1121,San Rafael High School,"150 Third Street, San Rafael, CA 94901",9-12,0.73 miles,5
Census Tract 1121,Census Tract 1121,Madrone High Continuation School,"185 Mission Ave, San Rafael, CA 94901",9-12,0.84 miles,Compare
Census Tract 1121,Census Tract 1121,Tamalpais Adult/Community Education,"375 Doherty Drive, Larkspur, CA 94939",n/a,1.63 miles,Compare
Census Tract 1121,Census Tract 1121,Tamiscal High (Alternative) School,"305 Doherty Drive, Larkspur, CA 94939",9-12,1.66 miles,8
Census Tract 1121,Census Tract 1121,Redwood High School,"395 Doherty Drive, Larkspur, CA 94939",9-12,1.69 miles,9
Census Tract 1121,Census Tract 1121,San Andreas High (Continuation) School,"599 William Avenue, Larkspur, CA 94939",10-12,1.79 miles,Compare
Census Tract 1121,Census Tract 1121,Terra Linda High School,"320 Nova Albion Way, San Rafael, CA 94903",9-12,3.14 miles,6
Census Tract 1121,Census Tract 1121,Marin School of Environmental Leadership,"320 Nova Albion Way, San Rafael, CA 94903",9-12,3.15 miles,Compare
Census Tract 1121,Census Tract 1121,Sir Francis Drake High School,"1327 Sir Francis Drake Boulevard, San Anselmo, CA 94960",9-12,3.24 miles,9
Census Tract 1121,Census Tract 1121,Marin County Special Education School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",K-12,4.01 miles,3
Census Tract 1121,Census Tract 1121,Marin County Rop School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",9-12,4.01 miles,Compare
Census Tract 1121,Census Tract 1121,Tamalpais High School,"700 Miller Avenue, Mill Valley, CA 94941",9-12,4.84 miles,9
Census Tract 1122.01,Census Tract 1122.01,San Rafael High School,"150 Third Street, San Rafael, CA 94901",9-12,0.49 miles,5
Census Tract 1122.01,Census Tract 1122.01,Madrone High Continuation School,"185 Mission Ave, San Rafael, CA 94901",9-12,0.6 miles,Compare
Census Tract 1122.01,Census Tract 1122.01,Tamalpais Adult/Community Education,"375 Doherty Drive, Larkspur, CA 94939",n/a,2.31 miles,Compare
Census Tract 1122.01,Census Tract 1122.01,Tamiscal High (Alternative) School,"305 Doherty Drive, Larkspur, CA 94939",9-12,2.41 miles,8
Census Tract 1122.01,Census Tract 1122.01,San Andreas High (Continuation) School,"599 William Avenue, Larkspur, CA 94939",10-12,2.43 miles,Compare
Census Tract 1122.01,Census Tract 1122.01,Redwood High School,"395 Doherty Drive, Larkspur, CA 94939",9-12,2.46 miles,9
Census Tract 1122.01,Census Tract 1122.01,Terra Linda High School,"320 Nova Albion Way, San Rafael, CA 94903",9-12,3.4 miles,6
Census Tract 1122.01,Census Tract 1122.01,Marin School of Environmental Leadership,"320 Nova Albion Way, San Rafael, CA 94903",9-12,3.45 miles,Compare
Census Tract 1122.01,Census Tract 1122.01,Sir Francis Drake High School,"1327 Sir Francis Drake Boulevard, San Anselmo, CA 94960",9-12,3.89 miles,9
Census Tract 1122.01,Census Tract 1122.01,Marin County Special Education School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",K-12,4.11 miles,3
Census Tract 1122.01,Census Tract 1122.01,Marin County Rop School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",9-12,4.11 miles,Compare
Census Tract 1122.02,Census Tract 1122.02,San Rafael High School,"150 Third Street, San Rafael, CA 94901",9-12,1.75 miles,5
Census Tract 1122.02,Census Tract 1122.02,Madrone High Continuation School,"185 Mission Ave, San Rafael, CA 94901",9-12,1.87 miles,Compare
Census Tract 1122.02,Census Tract 1122.02,Tamalpais Adult/Community Education,"375 Doherty Drive, Larkspur, CA 94939",n/a,2.34 miles,Compare
Census Tract 1122.02,Census Tract 1122.02,San Andreas High (Continuation) School,"599 William Avenue, Larkspur, CA 94939",10-12,2.38 miles,Compare
Census Tract 1122.02,Census Tract 1122.02,Tamiscal High (Alternative) School,"305 Doherty Drive, Larkspur, CA 94939",9-12,2.54 miles,8
Census Tract 1122.02,Census Tract 1122.02,Redwood High School,"395 Doherty Drive, Larkspur, CA 94939",9-12,2.62 miles,9
Census Tract 1122.02,Census Tract 1122.02,Terra Linda High School,"320 Nova Albion Way, San Rafael, CA 94903",9-12,4.68 miles,6
Census Tract 1122.02,Census Tract 1122.02,Marin School of Environmental Leadership,"320 Nova Albion Way, San Rafael, CA 94903",9-12,4.73 miles,Compare
Census Tract 1122.02,Census Tract 1122.02,Tamalpais High School,"700 Miller Avenue, Mill Valley, CA 94941",9-12,4.78 miles,9
Census Tract 113,Census Tract 113,Galileo High School,"1150 Francisco Street, San Francisco, CA 94109",9-12,1.01 miles,8
Census Tract 113,Census Tract 113,S.F. County Civic Center Secondary,"727 Golden Gate Avenue, San Francisco, CA 94102",6-12,1.25 miles,Compare
Census Tract 113,Census Tract 113,San Francisco County Rop School,"750 25th Avenue, San Francisco, CA 94121",10-12,1.34 miles,Compare
Census Tract 113,Census Tract 113,Wells (Ida B.) High School,"1099 Hayes Street, San Francisco, CA 94117",9-12,1.92 miles,Compare
Census Tract 113,Census Tract 113,Wallenberg (Raoul) Traditional High School,"40 Vega Street, San Francisco, CA 94115",9-12,2.24 miles,8
Census Tract 113,Census Tract 113,International Studies Academy,"655 De Haro Street, San Francisco, CA 94107",9-12,2.34 miles,4
Census Tract 113,Census Tract 113,Downtown High School,"693 Vermont Street, San Francisco, CA 94107",9-12,2.36 miles,Compare
Census Tract 113,Census Tract 113,O'connell (John) High School,"2355 Folsom Street, San Francisco, CA 94110",9-12,2.45 miles,3
Census Tract 113,Census Tract 113,Mission High School,"3750 18th Street, San Francisco, CA 94114",9-12,2.51 miles,5
Census Tract 113,Census Tract 113,S.F. International High School,"1050 York Street, San Francisco, CA 94110",9-12,2.51 miles,3
Census Tract 113,Census Tract 113,S.F. County Opportunity (Hilltop) School,"1325 Florida St, San Francisco, CA 94110",6-12,3.05 miles,Compare
Census Tract 113,Census Tract 113,"Asawa (Ruth) San Francisco School Of The Arts, A Public School.","555 Portola Drive, San Francisco, CA 94131",9-12,4.06 miles,10
Census Tract 113,Census Tract 113,Academy Of Arts And Sciences,"555 Portola Drive, San Francisco, CA 94131",9-12,4.06 miles,5
Census Tract 113,Census Tract 113,Marshall (Thurgood) High School,"45 Conkling Street, San Francisco, CA, San Francisco, CA 94124",9-12,4.12 miles,4
Census Tract 113,Census Tract 113,S.F. County Special Education School,"750 25th Ave, San Francisco, CA 94121",K-12,4.33 miles,Compare
Census Tract 113,Census Tract 113,Washington (George) High School,"600 32nd Avenue, San Francisco, CA 94121",9-12,4.69 miles,8
Census Tract 1130,Census Tract 1130,NoSuchElementException,0,0,0,0
Census Tract 1141,Census Tract 1141,Sir Francis Drake High School,"1327 Sir Francis Drake Boulevard, San Anselmo, CA 94960",9-12,1.3 miles,9
Census Tract 1141,Census Tract 1141,Marin School of Environmental Leadership,"320 Nova Albion Way, San Rafael, CA 94903",9-12,2.75 miles,Compare
Census Tract 1141,Census Tract 1141,Terra Linda High School,"320 Nova Albion Way, San Rafael, CA 94903",9-12,2.87 miles,6
Census Tract 1141,Census Tract 1141,Marin County Special Education School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",K-12,3.58 miles,3
Census Tract 1141,Census Tract 1141,Marin County Rop School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",9-12,3.58 miles,Compare
Census Tract 1141,Census Tract 1141,Redwood High School,"395 Doherty Drive, Larkspur, CA 94939",9-12,4.35 miles,9
Census Tract 1141,Census Tract 1141,Tamiscal High (Alternative) School,"305 Doherty Drive, Larkspur, CA 94939",9-12,4.42 miles,8
Census Tract 1141,Census Tract 1141,Madrone High Continuation School,"185 Mission Ave, San Rafael, CA 94901",9-12,4.46 miles,Compare
Census Tract 1141,Census Tract 1141,San Rafael High School,"150 Third Street, San Rafael, CA 94901",9-12,4.51 miles,5
Census Tract 1141,Census Tract 1141,Tamalpais Adult/Community Education,"375 Doherty Drive, Larkspur, CA 94939",n/a,4.63 miles,Compare
Census Tract 1141,Census Tract 1141,San Andreas High (Continuation) School,"599 William Avenue, Larkspur, CA 94939",10-12,4.76 miles,Compare
Census Tract 1142,Census Tract 1142,Sir Francis Drake High School,"1327 Sir Francis Drake Boulevard, San Anselmo, CA 94960",9-12,2.09 miles,9
Census Tract 1142,Census Tract 1142,Marin School of Environmental Leadership,"320 Nova Albion Way, San Rafael, CA 94903",9-12,2.59 miles,Compare
Census Tract 1142,Census Tract 1142,Terra Linda High School,"320 Nova Albion Way, San Rafael, CA 94903",9-12,2.69 miles,6
Census Tract 1142,Census Tract 1142,Marin County Special Education School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",K-12,2.82 miles,3
Census Tract 1142,Census Tract 1142,Marin County Rop School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",9-12,2.82 miles,Compare
Census Tract 1150,Census Tract 1150,Sir Francis Drake High School,"1327 Sir Francis Drake Boulevard, San Anselmo, CA 94960",9-12,1.69 miles,9
Census Tract 1150,Census Tract 1150,Marin School of Environmental Leadership,"320 Nova Albion Way, San Rafael, CA 94903",9-12,1.74 miles,Compare
Census Tract 1150,Census Tract 1150,Terra Linda High School,"320 Nova Albion Way, San Rafael, CA 94903",9-12,1.83 miles,6
Census Tract 1150,Census Tract 1150,Marin County Special Education School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",K-12,1.91 miles,3
Census Tract 1150,Census Tract 1150,Marin County Rop School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",9-12,1.91 miles,Compare
Census Tract 1150,Census Tract 1150,Madrone High Continuation School,"185 Mission Ave, San Rafael, CA 94901",9-12,4.5 miles,Compare
Census Tract 1150,Census Tract 1150,San Rafael High School,"150 Third Street, San Rafael, CA 94901",9-12,4.61 miles,5
Census Tract 1160,Census Tract 1160,Sir Francis Drake High School,"1327 Sir Francis Drake Boulevard, San Anselmo, CA 94960",9-12,0.3 miles,9
Census Tract 1160,Census Tract 1160,Marin School of Environmental Leadership,"320 Nova Albion Way, San Rafael, CA 94903",9-12,1.81 miles,Compare
Census Tract 1160,Census Tract 1160,Terra Linda High School,"320 Nova Albion Way, San Rafael, CA 94903",9-12,1.93 miles,6
Census Tract 1160,Census Tract 1160,Marin County Special Education School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",K-12,2.78 miles,3
Census Tract 1160,Census Tract 1160,Marin County Rop School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",9-12,2.78 miles,Compare
Census Tract 1160,Census Tract 1160,Madrone High Continuation School,"185 Mission Ave, San Rafael, CA 94901",9-12,3.44 miles,Compare
Census Tract 1160,Census Tract 1160,San Rafael High School,"150 Third Street, San Rafael, CA 94901",9-12,3.5 miles,5
Census Tract 1160,Census Tract 1160,Redwood High School,"395 Doherty Drive, Larkspur, CA 94939",9-12,3.72 miles,9
Census Tract 1160,Census Tract 1160,Tamiscal High (Alternative) School,"305 Doherty Drive, Larkspur, CA 94939",9-12,3.78 miles,8
Census Tract 1160,Census Tract 1160,Tamalpais Adult/Community Education,"375 Doherty Drive, Larkspur, CA 94939",n/a,3.96 miles,Compare
Census Tract 1160,Census Tract 1160,San Andreas High (Continuation) School,"599 William Avenue, Larkspur, CA 94939",10-12,4.11 miles,Compare
Census Tract 117,Census Tract 117,San Francisco County Rop School,"750 25th Avenue, San Francisco, CA 94121",10-12,1.05 miles,Compare
Census Tract 117,Census Tract 117,S.F. County Civic Center Secondary,"727 Golden Gate Avenue, San Francisco, CA 94102",6-12,1.29 miles,Compare
Census Tract 117,Census Tract 117,Galileo High School,"1150 Francisco Street, San Francisco, CA 94109",9-12,1.44 miles,8
Census Tract 117,Census Tract 117,Wells (Ida B.) High School,"1099 Hayes Street, San Francisco, CA 94117",9-12,2.0 miles,Compare
Census Tract 117,Census Tract 117,International Studies Academy,"655 De Haro Street, San Francisco, CA 94107",9-12,2.01 miles,4
Census Tract 117,Census Tract 117,Downtown High School,"693 Vermont Street, San Francisco, CA 94107",9-12,2.05 miles,Compare
Census Tract 117,Census Tract 117,O'connell (John) High School,"2355 Folsom Street, San Francisco, CA 94110",9-12,2.23 miles,3
Census Tract 117,Census Tract 117,Mission High School,"3750 18th Street, San Francisco, CA 94114",9-12,2.41 miles,5
Census Tract 117,Census Tract 117,S.F. International High School,"1050 York Street, San Francisco, CA 94110",9-12,2.41 miles,3
Census Tract 117,Census Tract 117,Wallenberg (Raoul) Traditional High School,"40 Vega Street, San Francisco, CA 94115",9-12,2.43 miles,8
Census Tract 117,Census Tract 117,S.F. County Opportunity (Hilltop) School,"1325 Florida St, San Francisco, CA 94110",6-12,2.79 miles,Compare
Census Tract 117,Census Tract 117,Marshall (Thurgood) High School,"45 Conkling Street, San Francisco, CA, San Francisco, CA 94124",9-12,3.81 miles,4
Census Tract 117,Census Tract 117,"Asawa (Ruth) San Francisco School Of The Arts, A Public School.","555 Portola Drive, San Francisco, CA 94131",9-12,4.02 miles,10
Census Tract 117,Census Tract 117,Academy Of Arts And Sciences,"555 Portola Drive, San Francisco, CA 94131",9-12,4.02 miles,5
Census Tract 117,Census Tract 117,S.F. County Special Education School,"750 25th Ave, San Francisco, CA 94121",K-12,4.56 miles,Compare
Census Tract 117,Census Tract 117,Burton (Phillip And Sala) Academic High School,"400 Mansell Street, San Francisco, CA 94134",9-12,4.85 miles,5
Census Tract 117,Census Tract 117,Washington (George) High School,"600 32nd Avenue, San Francisco, CA 94121",9-12,4.95 miles,8
Census Tract 1170,Census Tract 1170,Sir Francis Drake High School,"1327 Sir Francis Drake Boulevard, San Anselmo, CA 94960",9-12,0.76 miles,9
Census Tract 1170,Census Tract 1170,Marin School of Environmental Leadership,"320 Nova Albion Way, San Rafael, CA 94903",9-12,1.76 miles,Compare
Census Tract 1170,Census Tract 1170,Terra Linda High School,"320 Nova Albion Way, San Rafael, CA 94903",9-12,1.86 miles,6
Census Tract 1170,Census Tract 1170,Madrone High Continuation School,"185 Mission Ave, San Rafael, CA 94901",9-12,2.76 miles,Compare
Census Tract 1170,Census Tract 1170,San Rafael High School,"150 Third Street, San Rafael, CA 94901",9-12,2.81 miles,5
Census Tract 1170,Census Tract 1170,Marin County Special Education School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",K-12,2.84 miles,3
Census Tract 1170,Census Tract 1170,Marin County Rop School,"1111 Las Gallinas Avenue, San Rafael, CA 94913",9-12,2.84 miles,Compare
Census Tract 1170,Census Tract 1170,Redwood High School,"395 Doherty Drive, Larkspur, CA 94939",9-12,3.06 miles,9
Census Tract 1170,Census Tract 1170,Tamiscal High (Alternative) School,"305 Doherty Drive, Larkspur, CA 94939",9-12,3.11 miles,8
Census Tract 1170,Census Tract 1170,Tamalpais Adult/Community Education,"375 Doherty Drive, Larkspur, CA 94939",n/a,3.29 miles,Compare
Census Tract 1170,Census Tract 1170,San Andreas High (Continuation) School,"599 William Avenue, Larkspur, CA 94939",10-12,3.44 miles,Compare
Census Tract 118,Census Tract 118,Galileo High School,"1150 Francisco Street, San Francisco, CA 94109",9-12,1.21 miles,8
Census Tract 118,Census Tract 118,San Francisco County Rop School,"750 25th Avenue, San Francisco, CA 94121",10-12,1.23 miles,Compare
Census Tract 118,Census Tract 118,S.F. County Civic Center Secondary,"727 Golden Gate Avenue, San Francisco, CA 94102",6-12,1.29 miles,Compare
Census Tract 118,Census Tract 118,Wells (Ida B.) High School,"1099 Hayes Street, San Francisco, CA 94117",9-12,1.98 miles,Compare
Census Tract 118,Census Tract 118,International Studies Academy,"655 De Haro Street, San Francisco, CA 94107",9-12,2.22 miles,4
Census Tract 118,Census Tract 118,Downtown High School,"693 Vermont Street, San Francisco, CA 94107",9-12,2.25 miles,Compare
Census Tract 118,Census Tract 118,Wallenberg (Raoul) Traditional High School,"40 Vega Street, San Francisco, CA 94115",9-12,2.35 miles,8
Census Tract 118,Census Tract 118,O'connell (John) High School,"2355 Folsom Street, San Francisco, CA 94110",9-12,2.38 miles,3
Census Tract 118,Census Tract 118,Mission High School,"3750 18th Street, San Francisco, CA 94114",9-12,2.5 miles,5
Census Tract 118,Census Tract 118,S.F. International High School,"1050 York Street, San Francisco, CA 94110",9-12,2.5 miles,3
Census Tract 118,Census Tract 118,S.F. County Opportunity (Hilltop) School,"1325 Florida St, San Francisco, CA 94110",6-12,2.96 miles,Compare
